alert_id,created_at,rule_id,rule_name,window_start,window_end,severity,what,where_line,where_station,where_jig,where_model,where_firmware,where_api_key,evidence,suggested_action,review_status,reviewer,review_comment,reviewed_at
ALERT-81a0ac394559,2026-07-03T14:59:17.600611+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:00:00,2022-09-13T09:30:00,critical,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,55 falhas remotas em 58 tentativas; taxa 94.83%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",PENDING,,,
ALERT-2003f573a53e,2026-07-03T14:59:17.622182+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-1,,,,19 falhas em 20 tentativas; taxa 95.00%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",PENDING,,,
ALERT-c2940c58c6ff,2026-07-03T14:59:17.626790+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:15:00,2022-09-13T09:45:00,critical,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,57 falhas remotas em 62 tentativas; taxa 91.94%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",PENDING,,,
ALERT-58e0dfec20d9,2026-07-03T14:59:17.648488+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:30:00,2022-09-13T10:00:00,critical,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,61 falhas remotas em 68 tentativas; taxa 89.71%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",PENDING,,,
ALERT-0adbf73237d2,2026-07-03T14:59:17.666720+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-2,,,,20 falhas em 24 tentativas; taxa 83.33%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",PENDING,,,
ALERT-f0e4e40d6163,2026-07-03T14:59:17.670179+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T09:45:00,2022-09-13T10:15:00,critical,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,64 falhas remotas em 72 tentativas; taxa 88.89%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",PENDING,,,
ALERT-0ca1b4971e20,2026-07-03T14:59:17.689306+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,fw_download / ERR_AUTH,L2,L2-ST2,JIG-L2-ST2-2,,,,19 falhas em 21 tentativas; taxa 90.48%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",PENDING,,,
ALERT-f874dbc1e99c,2026-07-03T14:59:17.693143+00:00,REMOTE_API,Falha remota ou API key,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,fw_download / ERR_AUTH,L2,,,,,RKEY-00A57974F5,63 falhas remotas em 72 tentativas; taxa 87.50%; linhas afetadas 1,"Validar conectividade, renovar API key e pausar a chave se severidade alta.",PENDING,,,
ALERT-34faf5b102f7,2026-07-03T14:59:17.699042+00:00,FIRMWARE_BATCH,Firmware ou lote problematico,2022-09-13T10:00:00,2022-09-13T10:30:00,critical,fw_download / ERR_AUTH,,,,STB-300,v4.1.2,,21 falhas em 52 tentativas; PPM 403846; limite 388805,"Bloquear lote de firmware, validar pacote e checksums, e segregar unidades afetadas.",PENDING,,,
ALERT-07dcd9806090,2026-07-03T14:59:17.713034+00:00,JIG_STEP_CHRONIC,Falha cronica por jig e etapa,2022-09-13T10:15:00,2022-09-13T10:45:00,critical,fw_download / ERR_AUTH,L2,L2-ST1,JIG-L2-ST1-1,,,,11 falhas em 25 tentativas; taxa 44.00%; limite 38.60%,"Parar o jig, abrir manutencao e reprocessar unidades afetadas.",PENDING,,,
